month,state,permit,handgun,long_gun,other,multiple,totals
2017-07-01,Iowa,5099.0,94.0,1649.0,22.0,4,8801
2017-07-01,Kansas,3667.0,4636.0,3914.0,325.0,278,13775
2017-07-01,Kentucky,374603.0,7236.0,5118.0,241.0,419,390494
2017-07-01,Louisiana,1930.0,9420.0,5992.0,663.0,575,20454
2017-07-01,Maine,390.0,2695.0,2259.0,144.0,122,5837
2017-07-01,Maryland,2025.0,3710.0,3922.0,172.0,18,10088
2017-07-01,Massachusetts,6185.0,4034.0,2150.0,332.0,118,12900
2017-07-01,Michigan,15464.0,9305.0,7687.0,339.0,208,33378
2017-07-01,Minnesota,27018.0,5181.0,7734.0,430.0,245,41186
2017-07-01,Mississippi,1506.0,5961.0,3980.0,247.0,320,14388
2017-07-01,Missouri,716.0,16151.0,11098.0,1013.0,857,32415
2017-07-01,Montana,1043.0,2307.0,3168.0,137.0,156,7890
2017-07-01,Nebraska,2656.0,97.0,1204.0,10.0,0,4266
2017-07-01,Nevada,1805.0,3647.0,1962.0,219.0,223,8310
2017-07-01,New Hampshire,1451.0,4228.0,2427.0,128.0,4,8333
2017-07-01,New Jersey,0.0,4351.0,2519.0,164.0,0,7034
2017-07-01,New Mexico,1009.0,4834.0,3254.0,361.0,228,10580
2017-07-01,New York,2315.0,9212.0,11301.0,879.0,170,25576
2017-07-01,North Carolina,20102.0,1059.0,9316.0,551.0,180,34784
2017-07-01,North Dakota,496.0,1286.0,2030.0,85.0,62,4136
2017-07-01,Ohio,9440.0,20990.0,14131.0,1227.0,959,49432
2017-07-01,Oklahoma,0.0,9377.0,6698.0,882.0,668,20738
2017-07-01,Oregon,3998.0,11160.0,7877.0,0.0,1,23239
2017-07-01,Pennsylvania,23669.0,37329.0,11694.0,159.0,0,73654
2017-07-01,Rhode Island,0.0,836.0,593.0,64.0,129,1646
2017-07-01,South Carolina,11585.0,7458.0,4622.0,405.0,327,26567
2017-07-01,South Dakota,1138.0,1926.0,2355.0,200.0,99,6068
2017-07-01,Tennessee,19766.0,20279.0,11425.0,1125.0,0,52643
2017-07-01,Texas,19006.0,36913.0,27245.0,2653.0,2193,98338
2017-07-01,Utah,11902.0,2562.0,2546.0,202.0,0,17925
2017-07-01,Vermont,0.0,1127.0,1012.0,87.0,47,2275
2017-07-01,Virginia,1139.0,20688.0,13381.0,971.0,0,36183
2017-07-01,Washington,10910.0,12872.0,8636.0,1503.0,565,38369
2017-07-01,West Virginia,1798.0,4860.0,4535.0,231.0,328,13970
2017-07-01,Wisconsin,10275.0,11537.0,9946.0,585.0,44,32846
2017-07-01,Wyoming,279.0,1231.0,1395.0,82.0,77,3398
2017-06-01,Alabama,19508.0,8275.0,4782.0,254.0,334,35687
2017-06-01,Alaska,242.0,2909.0,2254.0,225.0,190,6353
2017-06-01,Arizona,6505.0,11507.0,6726.0,947.0,606,28359
2017-06-01,Arkansas,3033.0,5634.0,4070.0,190.0,292,16614
2017-06-01,California,60142.0,42726.0,23807.0,2763.0,0,130187
2017-06-01,Colorado,4920.0,17781.0,11298.0,1151.0,1038,36459
2017-06-01,Connecticut,8290.0,6203.0,1765.0,243.0,0,16504
2017-06-01,Delaware,533.0,1724.0,1082.0,74.0,66,3634
2017-06-01,Florida,18831.0,52114.0,19380.0,3260.0,2012,100508
2017-06-01,Georgia,15591.0,13617.0,6474.0,394.0,497,39874
2017-06-01,Hawaii,1082.0,0.0,0.0,0.0,0,1083
2017-06-01,Idaho,11559.0,3645.0,3698.0,184.0,184,20241
2017-06-01,Illinois,14883.0,21394.0,9491.0,0.0,790,113889
2017-06-01,Indiana,19163.0,18351.0,9706.0,1093.0,528,49689
2017-06-01,Iowa,5638.0,98.0,1641.0,36.0,3,8352
2017-06-01,Kansas,2400.0,5625.0,3788.0,355.0,280,13485
2017-06-01,Kentucky,373842.0,8765.0,5223.0,265.0,469,392002
2017-06-01,Louisiana,2011.0,11706.0,6324.0,859.0,540,23497
2017-06-01,Maine,567.0,3064.0,2188.0,210.0,155,6474
2017-06-01,Maryland,2477.0,3968.0,3963.0,250.0,19,10945
2017-06-01,Massachusetts,7347.0,5612.0,2287.0,329.0,149,15841
2017-06-01,Michigan,17225.0,11170.0,7578.0,463.0,200,37088
2017-06-01,Minnesota,29559.0,6258.0,7505.0,515.0,286,44775
2017-06-01,Mississippi,1783.0,7987.0,4029.0,268.0,382,17154
2017-06-01,Missouri,730.0,19459.0,11470.0,1200.0,935,36752
2017-06-01,Montana,1518.0,3026.0,3727.0,162.0,212,9901
2017-06-01,Nebraska,2799.0,99.0,1261.0,22.0,2,4265
2017-06-01,Nevada,2895.0,4449.0,2337.0,242.0,219,10602
2017-06-01,New Hampshire,1659.0,4836.0,2412.0,164.0,2,9184
2017-06-01,New Jersey,0.0,5022.0,2586.0,182.0,0,7790
2017-06-01,New Mexico,1140.0,5152.0,3486.0,421.0,261,11398
2017-06-01,New York,2602.0,10784.0,11309.0,921.0,196,27677
2017-06-01,North Carolina,23048.0,1581.0,9570.0,558.0,228,39169
2017-06-01,North Dakota,1159.0,1426.0,1942.0,97.0,59,4939
2017-06-01,Ohio,11147.0,23703.0,13536.0,1324.0,973,53164
2017-06-01,Oklahoma,0.0,11872.0,7459.0,942.0,778,24632
2017-06-01,Oregon,4087.0,13632.0,9218.0,0.0,1,27103
2017-06-01,Pennsylvania,22674.0,41408.0,11117.0,200.0,0,76201
2017-06-01,Rhode Island,0.0,1053.0,592.0,65.0,151,1899
2017-06-01,South Carolina,13761.0,11431.0,4533.0,473.0,445,32995
2017-06-01,South Dakota,1266.0,2215.0,2458.0,244.0,142,6704
2017-06-01,Tennessee,16722.0,23369.0,11558.0,1237.0,0,52959
2017-06-01,Texas,23877.0,48895.0,29119.0,3000.0,2307,118091
2017-06-01,Utah,14721.0,3307.0,2989.0,208.0,0,22138
2017-06-01,Vermont,0.0,1296.0,973.0,71.0,41,2382
2017-06-01,Virginia,728.0,22416.0,12706.0,959.0,0,36838
2017-06-01,Washington,12964.0,16674.0,9805.0,1694.0,604,46023
2017-06-01,West Virginia,1889.0,5409.0,4165.0,229.0,328,14498
2017-06-01,Wisconsin,11645.0,13463.0,9959.0,640.0,41,36267
2017-06-01,Wyoming,350.0,1520.0,1544.0,107.0,85,3975
2017-05-01,Alabama,18538.0,7198.0,4559.0,254.0,309,33331
2017-05-01,Alaska,247.0,2851.0,2459.0,216.0,170,6442
2017-05-01,Arizona,6628.0,12002.0,6555.0,951.0,621,28734
2017-05-01,Arkansas,4137.0,5181.0,3981.0,217.0,275,16749
2017-05-01,California,58722.0,42442.0,24495.0,2760.0,0,129307
